epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,82.1365,2.86303,1.40172,1.83779,0.24522,0.6332,0.31696,0.11664,2.27466,2.92946,1.87415,0.0015842,0.0015842,0.0015842
44,84.4164,2.44164,1.32574,1.80473,0.28638,0.61417,0.34192,0.12715,2.27707,2.38028,1.87849,0.0015743,0.0015743,0.0015743
45,86.5993,2.39219,1.99001,2.07967,0.40046,0.60236,0.42145,0.15706,2.2683,1.56924,1.86809,0.0015644,0.0015644,0.0015644
46,88.4657,2.40537,1.35433,1.90144,0.54477,0.66666,0.52907,0.19605,2.2704,1.29121,1.8751,0.0015545,0.0015545,0.0015545
47,90.2428,2.40146,1.31125,1.82856,0.58498,0.67795,0.5788,0.21206,2.25146,1.28826,1.84855,0.0015446,0.0015446,0.0015446
48,91.9485,2.57127,1.98347,2.00146,0.5706,0.6706,0.55954,0.20467,2.24537,1.31794,1.81989,0.0015347,0.0015347,0.0015347
49,93.7335,2.57109,1.42599,1.76726,0.43958,0.65518,0.43527,0.17038,2.2535,1.47485,1.80643,0.0015248,0.0015248,0.0015248
50,95.5416,2.42799,1.57951,1.97576,0.49195,0.64501,0.47821,0.18507,2.24421,1.39436,1.80892,0.0015149,0.0015149,0.0015149
51,97.3369,2.38635,1.42609,1.75352,0.55805,0.67859,0.54197,0.20171,2.2339,1.3172,1.81276,0.001505,0.001505,0.001505
52,99.0402,2.49636,1.48553,1.87066,0.53597,0.6298,0.53091,0.18492,2.22061,1.38025,1.84128,0.0014951,0.0014951,0.0014951
53,100.821,2.42677,1.34214,1.83093,0.58057,0.65879,0.5665,0.19987,2.18972,1.38925,1.81607,0.0014852,0.0014852,0.0014852
54,102.514,2.39254,1.32893,1.7936,0.57741,0.66601,0.5698,0.22013,2.16397,1.41312,1.79733,0.0014753,0.0014753,0.0014753
55,104.384,2.41164,1.32695,1.79086,0.48423,0.61483,0.4679,0.17897,2.27471,1.48013,1.8567,0.0014654,0.0014654,0.0014654
56,106.322,2.843,2.40827,1.92649,0.53623,0.6378,0.52461,0.19627,2.26467,1.35411,1.84229,0.0014555,0.0014555,0.0014555
57,108.232,2.37187,1.29065,1.77795,0.597,0.6706,0.58041,0.2198,2.25084,1.25423,1.83369,0.0014456,0.0014456,0.0014456
58,110.775,2.45095,1.28975,1.74198,0.59181,0.66667,0.5946,0.21759,2.23925,1.2443,1.82292,0.0014357,0.0014357,0.0014357
59,112.762,2.3173,1.36806,1.77653,0.60308,0.66207,0.59571,0.21863,2.21315,1.27068,1.8116,0.0014258,0.0014258,0.0014258
60,114.555,2.34012,1.35714,1.76427,0.6059,0.67913,0.60659,0.22332,2.18199,1.31245,1.80035,0.0014159,0.0014159,0.0014159
