epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,341.445,2.23685,1.523,1.79694,0.77085,0.71517,0.72866,0.2936,2.04918,1.11103,1.64421,0.0002081,0.0002081,0.0002081
183,343.178,2.28154,1.21799,1.5611,0.78633,0.729,0.74042,0.30002,2.03069,1.1153,1.6293,0.0001982,0.0001982,0.0001982
184,344.967,2.17294,1.17407,1.5489,0.78109,0.73753,0.76473,0.31385,2.00042,1.1157,1.60481,0.0001883,0.0001883,0.0001883
185,346.781,2.15716,1.22095,1.58098,0.78044,0.73622,0.76544,0.318,1.98845,1.11562,1.59781,0.0001784,0.0001784,0.0001784
186,348.589,2.14732,1.27803,1.63127,0.76851,0.73195,0.76143,0.31817,1.98272,1.11479,1.59667,0.0001685,0.0001685,0.0001685
187,350.454,2.16392,1.26558,1.53343,0.76471,0.72296,0.75871,0.31673,1.98943,1.11532,1.59978,0.0001586,0.0001586,0.0001586
188,352.251,2.11872,1.17658,1.48635,0.76434,0.72998,0.76197,0.31474,1.99447,1.11537,1.60236,0.0001487,0.0001487,0.0001487
189,354.059,2.34843,1.31841,1.55716,0.75591,0.73156,0.75872,0.31236,2.0032,1.10804,1.60813,0.0001388,0.0001388,0.0001388
190,355.875,2.17193,1.30729,1.67393,0.76776,0.73556,0.74982,0.30508,2.01328,1.10167,1.61522,0.0001289,0.0001289,0.0001289
191,357.459,2.06872,1.31802,1.47673,0.78269,0.73031,0.74475,0.3011,2.01267,1.11437,1.61597,0.000119,0.000119,0.000119
192,358.84,1.97864,1.2277,1.48776,0.77089,0.72441,0.74009,0.29892,2.01126,1.12356,1.61715,0.0001091,0.0001091,0.0001091
193,360.124,2.00871,1.28276,1.54174,0.77302,0.72244,0.73976,0.2962,2.00748,1.14122,1.61702,9.92e-05,9.92e-05,9.92e-05
194,361.59,1.9967,1.47099,1.46192,0.77212,0.72257,0.74026,0.29636,2.00336,1.15513,1.61527,8.93e-05,8.93e-05,8.93e-05
195,363.095,2.00956,1.36383,1.46111,0.76838,0.72113,0.73786,0.29519,1.99828,1.16592,1.6125,7.94e-05,7.94e-05,7.94e-05
196,364.878,2.13285,1.74941,1.65667,0.76938,0.71982,0.7406,0.29777,1.99249,1.17339,1.60761,6.95e-05,6.95e-05,6.95e-05
197,366.51,1.88387,1.26282,1.46072,0.7675,0.72348,0.74542,0.29927,1.99064,1.1768,1.60599,5.96e-05,5.96e-05,5.96e-05
198,367.842,1.94425,1.49975,1.50752,0.76509,0.71982,0.7466,0.2999,1.9893,1.17825,1.60445,4.97e-05,4.97e-05,4.97e-05
199,369.31,1.91007,1.21075,1.45489,0.76587,0.7231,0.74868,0.30372,1.98728,1.18172,1.60035,3.98e-05,3.98e-05,3.98e-05
200,370.558,2.08696,1.28889,1.47339,0.77023,0.72368,0.75012,0.30362,1.98586,1.18458,1.59867,2.99e-05,2.99e-05,2.99e-05
