                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6531,                 3.6856,                 4.2213,                      0,                      0,                      0,                      0,                 5.5894,                 3.6523,                 4.1602,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.8229,                 3.6564,                 4.1845,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5889,                 3.6484,                 4.1601,             0.00013861,             0.00013861,             0.00013861
                      3,                 5.5476,                 3.5877,                 4.1517,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5848,                 3.6389,                 4.1567,             0.00021564,             0.00021564,             0.00021564
                      4,                 5.5603,                 3.4646,                   4.08,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5747,                 3.6205,                 4.1481,             0.00029109,             0.00029109,             0.00029109
                      5,                 5.4211,                 3.2395,                 3.9949,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5666,                 3.6063,                 4.1411,             0.00036495,             0.00036495,             0.00036495
                      6,                 5.1055,                 3.0244,                 3.9772,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5567,                 3.5915,                 4.1323,             0.00043723,             0.00043723,             0.00043723
                      7,                 4.9919,                 2.7997,                 3.8585,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5448,                 3.5783,                 4.1217,             0.00050792,             0.00050792,             0.00050792
                      8,                 4.8251,                 2.6578,                 3.7774,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5275,                 3.5616,                 4.1071,             0.00057703,             0.00057703,             0.00057703
                      9,                 4.4817,                 2.5133,                 3.7473,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5187,                  3.562,                 4.0991,             0.00064456,             0.00064456,             0.00064456
                     10,                 4.0838,                 2.2436,                 3.5509,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5161,                 3.5656,                 4.0964,              0.0007105,              0.0007105,              0.0007105
                     11,                 4.0259,                 2.1127,                 3.4056,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4703,                 3.5104,                 4.0614,             0.00077486,             0.00077486,             0.00077486
