                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9537,                 3.6425,                 4.2333,                      0,                      0,                      0,                      0,                 5.5894,                 3.6523,                 4.1603,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.0463,                 3.6213,                 4.1945,                0.00019,                0.00066,                 0.0001,                  1e-05,                  5.589,                 3.6488,                 4.1603,             0.00013861,             0.00013861,             0.00013861
                      3,                 4.8393,                 3.5558,                 4.1722,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5851,                 3.6396,                 4.1575,             0.00021564,             0.00021564,             0.00021564
                      4,                 4.7445,                 3.4263,                 4.1149,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5752,                 3.6208,                 4.1498,             0.00029109,             0.00029109,             0.00029109
                      5,                 4.7055,                 3.2317,                 4.0644,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5666,                 3.6055,                  4.143,             0.00036495,             0.00036495,             0.00036495
                      6,                 4.4748,                 3.0725,                 4.0525,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5555,                 3.5885,                  4.134,             0.00043723,             0.00043723,             0.00043723
                      7,                 4.3242,                 2.8606,                 3.9562,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5431,                  3.576,                 4.1242,             0.00050792,             0.00050792,             0.00050792
                      8,                 4.1654,                 2.6848,                 3.9022,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5261,                 3.5631,                 4.1113,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.9119,                 2.5202,                 3.8396,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5141,                 3.5657,                 4.1031,             0.00064456,             0.00064456,             0.00064456
                     10,                 3.6886,                 2.3024,                 3.6736,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.4946,                 3.5566,                 4.0899,              0.0007105,              0.0007105,              0.0007105
                     11,                 3.6423,                 2.2205,                 3.5689,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.4419,                 3.5074,                 4.0516,             0.00077486,             0.00077486,             0.00077486
                     12,                  3.293,                 2.0939,                 3.4234,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.4319,                 3.5313,                 4.0479,             0.00083763,             0.00083763,             0.00083763
                     13,                 3.0724,                 2.0119,                 3.3456,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.2312,                  3.347,                 3.9125,             0.00089882,             0.00089882,             0.00089882
                     14,                 2.9004,                 1.9402,                 3.2679,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.1232,                 3.2833,                 3.8486,             0.00095843,             0.00095843,             0.00095843
                     15,                 2.9238,                 1.8309,                 3.1103,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.2947,                 3.5117,                  3.962,              0.0010165,              0.0010165,              0.0010165
                     16,                  2.855,                 1.8455,                 3.0894,                0.00037,                0.00131,                0.00019,                  3e-05,                 5.3125,                 3.5571,                 3.9775,              0.0010729,              0.0010729,              0.0010729
                     17,                 2.6992,                 1.7131,                 2.9881,                0.00037,                0.00131,                0.00019,                  4e-05,                 5.3828,                 3.6791,                 4.0328,              0.0011277,              0.0011277,              0.0011277
                     18,                 2.7665,                 1.6094,                  2.823,                0.00074,                0.00262,                0.00038,                  7e-05,                 5.2497,                 3.5546,                 3.9318,               0.001181,               0.001181,               0.001181
                     19,                 2.6092,                 1.5635,                 2.7313,                0.00074,                0.00262,                0.00038,                  7e-05,                 5.4921,                 3.6205,                 4.1215,              0.0012327,              0.0012327,              0.0012327
                     20,                 2.6623,                 1.5555,                 2.6556,                0.00037,                0.00131,                0.00019,                  4e-05,                 5.8185,                 3.9299,                 4.5024,              0.0012828,              0.0012828,              0.0012828
                     21,                 2.6286,                 1.5824,                 2.6213,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.9713,                 4.0953,                 4.7659,              0.0013313,              0.0013313,              0.0013313
                     22,                 2.4896,                 1.5026,                 2.4989,                0.00189,                0.00591,                0.00095,                0.00022,                 5.8447,                 3.8343,                 4.5126,              0.0013783,              0.0013783,              0.0013783
                     23,                 2.4205,                 1.5507,                 2.5588,                0.02109,                0.06562,                0.02163,                0.00717,                 5.3331,                 3.3328,                  4.027,              0.0014236,              0.0014236,              0.0014236
                     24,                 2.4489,                  1.494,                 2.4988,                0.33314,                0.19307,                0.14906,                0.05109,                 3.7841,                 2.3555,                 3.1682,              0.0014674,              0.0014674,              0.0014674
                     25,                 2.3675,                 1.4638,                 2.4246,                0.38252,                0.44357,                0.32475,                0.11247,                 2.7705,                 1.6043,                 2.5776,              0.0015096,              0.0015096,              0.0015096
                     26,                  2.397,                 1.4523,                 2.3529,                0.37271,                0.60171,                0.33236,                0.11275,                 2.5792,                 1.4723,                 2.3532,               0.001505,               0.001505,               0.001505
                     27,                 2.3394,                  1.459,                 2.3505,                0.37732,                0.55705,                0.33307,                0.11696,                 2.5598,                 1.4702,                 2.3131,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.4134,                 1.4767,                   2.29,                0.35357,                0.54264,                0.30415,                0.11268,                 2.5514,                 1.5443,                   2.29,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.3403,                 1.4373,                 2.2324,                0.32252,                0.53084,                0.28142,                0.10597,                 2.5313,                 1.5814,                 2.2524,              0.0014456,              0.0014456,              0.0014456
                     30,                  2.339,                 1.4844,                 2.2446,                0.22905,                0.50066,                0.21454,                 0.0799,                 2.5046,                  2.067,                 2.2163,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.3499,                 1.4209,                 2.1726,                0.19394,                0.49803,                0.19354,                0.07086,                 2.4725,                 2.7264,                 2.1943,               0.001406,               0.001406,               0.001406
                     32,                 2.2382,                 1.4217,                 2.1893,                0.18019,                0.49934,                0.19268,                0.07008,                 2.4552,                 3.7983,                 2.1919,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.2513,                 1.4348,                 2.2201,                0.14788,                0.42257,                0.16365,                0.05453,                 2.4737,                 5.1317,                 2.2113,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.1557,                 1.3718,                 2.1296,                0.20997,                0.19094,                0.14109,                0.04296,                 2.5099,                 5.9709,                 2.2445,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.2485,                 1.3746,                 2.1115,                0.18953,                0.20079,                0.13476,                0.04117,                 2.5325,                 6.5467,                 2.2506,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.2176,                 1.4116,                 2.1169,                0.19647,                0.19975,                 0.1391,                0.04215,                 2.5583,                  6.167,                 2.2608,               0.001307,               0.001307,               0.001307
