                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8918,                 3.6918,                 4.1915,                      0,                      0,                      0,                      0,                 5.5895,                 3.6522,                 4.1605,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.8325,                 3.6027,                 4.1476,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5897,                 3.6499,                 4.1609,             0.00013861,             0.00013861,             0.00013861
                      3,                 5.6188,                 3.2771,                 4.0209,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5894,                 3.6491,                 4.1609,             0.00021564,             0.00021564,             0.00021564
                      4,                 4.4958,                 2.2338,                 3.8429,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5917,                 3.6557,                 4.1627,             0.00029109,             0.00029109,             0.00029109
                      5,                  3.567,                 1.6128,                 3.6666,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5957,                 3.6653,                 4.1662,             0.00036495,             0.00036495,             0.00036495
                      6,                 3.2152,                 1.4581,                 3.5069,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6039,                  3.684,                 4.1731,             0.00043723,             0.00043723,             0.00043723
                      7,                 2.9787,                 1.3738,                  3.341,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6156,                  3.712,                 4.1832,             0.00050792,             0.00050792,             0.00050792
                      8,                 2.8247,                 1.3364,                 3.1716,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6304,                 3.7478,                 4.1964,             0.00057703,             0.00057703,             0.00057703
                      9,                 2.7785,                 1.3329,                 2.9746,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6499,                 3.7926,                 4.2145,             0.00064456,             0.00064456,             0.00064456
                     10,                 2.7108,                  1.281,                 2.8226,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6715,                 3.8392,                 4.2362,              0.0007105,              0.0007105,              0.0007105
                     11,                 2.6618,                  1.262,                 2.6864,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6933,                 3.8812,                 4.2602,             0.00077486,             0.00077486,             0.00077486
