                      epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9144,                 1.2482,                 1.6865,                0.61123,                0.70918,                0.62594,                0.22762,                 2.1569,                  1.249,                 1.6996,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.9207,                 1.2616,                 1.6938,                0.51357,                0.60544,                0.50786,                0.17323,                 2.3238,                  1.354,                 1.8193,               0.000614,               0.000614,               0.000614
                     37,                 1.9365,                  1.233,                  1.697,                0.59489,                0.64966,                0.55968,                0.20391,                 2.2466,                 1.2692,                 1.7802,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.9129,                 1.2189,                 1.6664,                0.63513,                0.71429,                0.62371,                0.23898,                 2.1591,                 1.1873,                 1.7142,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.9163,                  1.221,                 1.6508,                0.60348,                0.66327,                0.57663,                0.21442,                 2.1927,                 1.2378,                 1.7476,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.9173,                 1.2393,                 1.6955,                0.52367,                0.60578,                 0.4965,                0.17111,                 2.2685,                  1.338,                  1.795,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.8309,                 1.3361,                 1.6641,                0.59847,                0.68707,                0.60094,                0.21816,                 2.1526,                  1.268,                  1.705,               0.000416,               0.000416,               0.000416
                     42,                 1.8399,                 1.3123,                 1.6296,                0.61033,                 0.7466,                0.65765,                0.25929,                 2.0592,                 1.2153,                 1.6457,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.797,                  1.313,                 1.6301,                0.55205,                0.68537,                 0.5785,                0.21528,                 2.1208,                  1.309,                  1.697,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7909,                 1.2845,                 1.6304,                 0.5417,                0.62755,                0.53787,                0.19275,                 2.1847,                 1.3734,                 1.7587,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7939,                 1.2786,                 1.6274,                0.59742,                0.67687,                0.60306,                0.21959,                 2.1307,                 1.2902,                 1.7119,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7948,                 1.2757,                 1.6302,                0.61087,                 0.7449,                0.66946,                0.25263,                 2.0663,                 1.2096,                 1.6478,               0.000218,               0.000218,               0.000218
                     47,                 1.7916,                 1.2725,                 1.6141,                0.57361,                0.71609,                0.61323,                0.22678,                 2.0995,                 1.2545,                 1.6801,              0.0001784,              0.0001784,              0.0001784
                     48,                  1.777,                 1.2637,                 1.6036,                0.55563,                0.65986,                0.55296,                0.19747,                 2.1677,                 1.3122,                  1.736,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.7853,                 1.3001,                 1.6515,                0.55428,                0.66667,                0.55297,                0.20023,                 2.1596,                 1.3003,                 1.7233,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.7749,                 1.2752,                 1.6212,                0.55296,                0.67737,                 0.5585,                0.20462,                 2.1442,                 1.2888,                 1.7077,               5.96e-05,               5.96e-05,               5.96e-05
