                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6115,                 3.6178,                 4.1769,                      0,                      0,                      0,                      0,                 6.1783,                 3.7001,                 4.1552,                0.00026,                0.00026,                0.00026
                      2,                 4.9333,                 2.7639,                 3.9576,                      0,                      0,                      0,                      0,                 6.1584,                 3.6728,                 4.1279,             0.00052931,             0.00052931,             0.00052931
                      3,                   3.79,                 1.9978,                 3.5261,                      0,                      0,                      0,                      0,                 6.1349,                 3.6453,                 4.1028,             0.00078753,             0.00078753,             0.00078753
                      4,                  3.082,                 1.5442,                 2.8884,                      0,                      0,                      0,                      0,                  6.179,                 3.7647,                 4.1794,              0.0010347,              0.0010347,              0.0010347
                      5,                 2.8295,                 1.4595,                 2.5492,                      0,                      0,                      0,                      0,                 6.2023,                  3.759,                 4.2155,              0.0012707,              0.0012707,              0.0012707
                      6,                 2.7142,                 1.4029,                  2.361,                0.07481,                0.34354,                 0.0675,                0.02258,                 3.7294,                 2.9451,                 3.1261,              0.0014957,              0.0014957,              0.0014957
                      7,                 2.6269,                 1.3438,                 2.2834,                0.58263,                0.15476,                0.20038,                0.07032,                 3.8263,                  2.345,                 2.9462,              0.0017095,              0.0017095,              0.0017095
                      8,                 2.5333,                  1.302,                 2.1663,                0.52131,                0.62075,                0.50626,                0.17995,                 2.4363,                 1.2671,                 2.0233,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5095,                  1.267,                 2.0969,                0.42047,                 0.5085,                0.34425,                0.11672,                  2.634,                 1.6927,                 2.1146,              0.0016832,              0.0016832,              0.0016832
                     10,                  2.445,                 1.2781,                 2.0513,                0.40801,                0.59694,                0.41617,                 0.1496,                 2.3866,                 1.4096,                 1.9158,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.4188,                 1.2556,                 2.0264,                0.52506,                0.67177,                0.54254,                0.18914,                 2.3882,                 1.2716,                 1.8886,               0.001604,               0.001604,               0.001604
                     12,                 2.4125,                 1.2374,                 1.9716,                0.58368,                0.65816,                0.57483,                0.20154,                 2.3439,                 1.3501,                 1.8653,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.3889,                 1.1984,                 1.8886,                0.45377,                0.65306,                0.45075,                0.16341,                 2.4552,                 1.3548,                 1.9189,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.3563,                 1.1887,                 1.8551,                0.51831,                0.59864,                0.52111,                0.18002,                 2.4741,                 1.3076,                 1.9181,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.3217,                 1.1822,                 1.8211,                 0.7484,                0.77401,                0.74827,                0.29388,                 2.1429,                 1.0727,                 1.7464,              0.0014456,              0.0014456,              0.0014456
                     16,                  2.351,                 1.2016,                 1.8359,                0.60613,                0.67523,                0.64979,                 0.2485,                  2.229,                 1.1848,                 1.7846,               0.001406,               0.001406,               0.001406
                     17,                 2.2935,                 1.1954,                 1.7883,                0.74706,                0.74841,                0.78568,                 0.3159,                 2.0556,                 1.0883,                 1.6816,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.2696,                 1.1873,                 1.7933,                 0.7037,                0.71088,                0.68827,                0.26857,                 2.1468,                 1.1622,                 1.7189,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.2968,                 1.1821,                 1.7753,                0.72581,                0.73829,                0.72876,                0.28997,                 2.1307,                 1.1252,                 1.7048,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.2984,                 1.1712,                 1.7775,                0.62083,                0.65158,                0.63233,                0.22716,                  2.189,                 1.2173,                 1.7766,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.2759,                  1.149,                 1.7343,                0.74057,                 0.7483,                 0.7817,                0.31699,                  2.068,                 1.0557,                 1.6597,               0.001208,               0.001208,               0.001208
