                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6576,                  3.684,                 4.2114,                      0,                      0,                      0,                      0,                 5.5894,                 3.6521,                 4.1603,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.8241,                 3.6411,                 4.1757,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5886,                 3.6477,                 4.1599,             0.00013931,             0.00013931,             0.00013931
                      3,                 5.5443,                 3.5619,                 4.1367,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5839,                 3.6371,                 4.1562,             0.00021782,             0.00021782,             0.00021782
                      4,                 5.5092,                 3.3777,                 4.0409,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5736,                 3.6178,                 4.1479,             0.00029554,             0.00029554,             0.00029554
                      5,                 5.2888,                  3.044,                 3.9255,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5654,                 3.6029,                 4.1413,             0.00037248,             0.00037248,             0.00037248
                      6,                 4.9653,                 2.7957,                 3.9031,                0.00019,                0.00066,                 0.0001,                  1e-05,                 5.5554,                 3.5874,                 4.1332,             0.00044862,             0.00044862,             0.00044862
                      7,                  4.756,                 2.5466,                 3.7798,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5424,                  3.574,                 4.1228,             0.00052396,             0.00052396,             0.00052396
                      8,                 4.5886,                 2.3864,                 3.6971,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5241,                 3.5598,                 4.1086,             0.00059852,             0.00059852,             0.00059852
                      9,                 4.0336,                 2.1759,                 3.6101,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5089,                 3.5553,                 4.0971,             0.00067228,             0.00067228,             0.00067228
                     10,                 3.7813,                 1.9748,                 3.4106,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4585,                 3.4961,                 4.0601,             0.00074525,             0.00074525,             0.00074525
                     11,                 3.7102,                 1.9118,                 3.2621,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4331,                  3.476,                  4.042,             0.00081743,             0.00081743,             0.00081743
                     12,                 3.2666,                 1.7178,                 3.0883,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4975,                 3.5895,                 4.0914,             0.00088882,             0.00088882,             0.00088882
                     13,                 3.1771,                 1.6664,                 3.0075,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4795,                 3.5865,                 4.0795,             0.00095941,             0.00095941,             0.00095941
                     14,                 3.0042,                 1.5988,                  2.884,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5004,                 3.6316,                 4.0982,              0.0010292,              0.0010292,              0.0010292
                     15,                 2.9808,                 1.5356,                 2.7625,                0.00019,                0.00066,                  9e-05,                  1e-05,                  5.628,                 3.8638,                  4.218,              0.0010982,              0.0010982,              0.0010982
                     16,                 2.9546,                 1.5257,                 2.7124,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.7235,                 4.0409,                 4.3223,              0.0011664,              0.0011664,              0.0011664
                     17,                 2.8515,                 1.5301,                 2.6716,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.8081,                 4.2337,                 4.4366,              0.0012339,              0.0012339,              0.0012339
                     18,                 2.9246,                  1.461,                 2.5084,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.8391,                 4.2854,                 4.4862,              0.0013005,              0.0013005,              0.0013005
                     19,                 2.7951,                 1.4263,                 2.4666,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.8149,                 4.2147,                 4.4542,              0.0013664,              0.0013664,              0.0013664
                     20,                 2.7965,                 1.4136,                  2.369,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.7712,                 4.1289,                 4.3944,              0.0014314,              0.0014314,              0.0014314
                     21,                  2.785,                 1.4385,                 2.3539,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6065,                 3.8433,                 4.1897,              0.0014957,              0.0014957,              0.0014957
                     22,                  2.688,                 1.3943,                 2.2763,                0.00093,                0.00328,                0.00047,                0.00024,                 5.6392,                  3.821,                 4.2135,              0.0015591,              0.0015591,              0.0015591
                     23,                 2.6167,                 1.4312,                 2.3867,                0.00444,                0.01575,                0.00483,                0.00214,                 5.6444,                 3.8276,                 4.2566,              0.0016218,              0.0016218,              0.0016218
                     24,                 2.6707,                 1.3871,                 2.3469,                0.03111,                0.11024,                0.04727,                0.01414,                 5.0546,                 3.3887,                 3.9495,              0.0016837,              0.0016837,              0.0016837
                     25,                 2.5808,                 1.3563,                 2.2619,                 0.3979,                0.32175,                0.22445,                0.08233,                 3.3137,                 2.3216,                 3.1493,              0.0017448,              0.0017448,              0.0017448
                     26,                 2.6351,                 1.3403,                 2.1848,                0.36392,                0.50853,                0.34619,                0.12128,                 2.5928,                 1.7524,                 2.6555,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.5322,                 1.3178,                  2.187,                0.38199,                0.54921,                0.37247,                0.13006,                 2.4997,                 1.4592,                 2.4703,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.6221,                  1.339,                 2.1517,                0.42218,                0.61155,                0.41482,                0.14466,                 2.4511,                 1.3593,                 2.3611,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.6004,                 1.3388,                 2.1369,                0.43203,                0.62467,                0.44721,                0.15491,                 2.4202,                 1.3544,                 2.3018,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.5393,                 1.3813,                 2.1669,                0.33212,                0.68045,                0.39497,                0.14268,                 2.4204,                 1.4121,                 2.2968,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.5621,                   1.31,                 2.0829,                 0.3094,                0.62118,                0.33517,                0.12165,                 2.4447,                 1.4693,                 2.3117,               0.001703,               0.001703,               0.001703
                     32,                 2.4795,                 1.2769,                 2.0762,                0.31151,                0.59449,                0.32519,                0.11741,                 2.5046,                 1.4866,                 2.3362,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.5411,                 1.3134,                 2.1739,                0.26862,                0.55249,                0.25872,                0.09188,                 2.6222,                 1.5533,                 2.4114,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.4639,                 1.2926,                 2.0819,                0.24921,                0.56102,                0.23742,                0.08637,                 2.5965,                 1.5358,                 2.3926,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.5116,                 1.2735,                 2.0617,                0.25904,                0.56496,                0.23563,                0.08899,                 2.5661,                 1.4775,                 2.3658,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.4855,                 1.3024,                 2.0924,                0.28985,                0.57415,                0.25301,                0.09568,                 2.5523,                 1.4251,                  2.351,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.5385,                  1.291,                 2.0515,                0.31792,                0.61415,                0.27914,                0.10201,                 2.5329,                 1.3861,                  2.309,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.5185,                 1.2519,                 2.0061,                0.35906,                0.58399,                0.30896,                0.11365,                  2.471,                 1.3681,                 2.2411,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.5181,                 1.2497,                 1.9642,                0.42945,                0.60367,                0.39912,                0.14424,                 2.3929,                 1.2965,                 2.1687,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.4355,                 1.2616,                 1.9688,                0.46981,                0.62073,                0.44394,                0.16083,                  2.371,                 1.2596,                 2.1405,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.4564,                 1.2726,                 2.0054,                0.52199,                0.62533,                0.48925,                0.17838,                 2.3462,                 1.2538,                 2.1163,               0.001604,               0.001604,               0.001604
                     42,                 2.4561,                 1.3055,                 2.0669,                0.53022,                0.59839,                0.47019,                0.17021,                 2.3756,                  1.303,                 2.1187,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.4406,                 1.2938,                 1.9824,                0.55922,                0.59318,                0.48973,                0.17529,                 2.3504,                 1.2848,                 2.0951,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.4569,                 1.2716,                  2.011,                0.59477,                0.61877,                 0.5231,                0.18518,                 2.2949,                 1.3118,                 2.0497,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.4244,                 1.2823,                 1.9472,                0.57361,                0.60761,                0.52225,                0.18137,                 2.2833,                 1.4365,                 2.0222,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.4125,                 1.3034,                 1.9778,                  0.573,                0.61942,                0.52632,                0.18241,                 2.2757,                 1.3952,                 2.0173,              0.0015545,              0.0015545,              0.0015545
                     47,                 2.4025,                 1.3092,                 1.9115,                0.54015,                0.62817,                0.51013,                0.18109,                 2.2824,                 1.3435,                 2.0148,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.4024,                 1.2498,                 1.8704,                 0.4733,                0.60892,                0.43698,                0.15847,                 2.2894,                 1.3767,                 2.0173,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.4082,                 1.2617,                 1.9349,                0.40901,                0.59121,                0.36571,                0.13453,                  2.306,                 1.4354,                 2.0314,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.3603,                 1.2712,                 1.9194,                0.46178,                 0.5731,                0.43139,                0.15608,                 2.3034,                 1.3791,                 2.0269,              0.0015149,              0.0015149,              0.0015149
                     51,                  2.383,                 1.2538,                 1.9108,                0.58253,                0.63714,                0.54407,                 0.2008,                 2.2422,                 1.2747,                 1.9761,               0.001505,               0.001505,               0.001505
                     52,                 2.3862,                 1.2359,                  1.878,                 0.6322,                0.66207,                0.59257,                0.21272,                 2.2334,                 1.2795,                 1.9541,              0.0014951,              0.0014951,              0.0014951
                     53,                 2.3574,                 1.2369,                 1.8395,                0.61834,                0.63714,                0.57976,                0.21158,                 2.2359,                 1.3331,                   1.95,              0.0014852,              0.0014852,              0.0014852
                     54,                 2.3908,                 1.2555,                 1.8718,                0.60548,                0.63714,                0.55953,                0.20035,                 2.2317,                 1.3502,                 1.9464,              0.0014753,              0.0014753,              0.0014753
                     55,                 2.3468,                 1.2455,                 1.8437,                0.59656,                0.62533,                0.54963,                0.19217,                 2.2397,                 1.3687,                 1.9394,              0.0014654,              0.0014654,              0.0014654
                     56,                 2.3307,                 1.2211,                 1.7991,                0.60107,                0.62205,                0.55531,                0.19392,                 2.2392,                 1.3991,                 1.9222,              0.0014555,              0.0014555,              0.0014555
                     57,                 2.3731,                 1.2375,                 1.8286,                0.60575,                 0.6422,                0.56174,                0.19492,                 2.2274,                 1.4047,                 1.9013,              0.0014456,              0.0014456,              0.0014456
                     58,                 2.3816,                 1.2825,                 1.8851,                 0.6076,                0.64764,                0.56777,                0.20991,                 2.1941,                 1.3958,                 1.8894,              0.0014357,              0.0014357,              0.0014357
                     59,                 2.3312,                 1.2571,                 1.8426,                0.54506,                0.59252,                0.50176,                0.18982,                 2.2357,                 1.3949,                 1.9183,              0.0014258,              0.0014258,              0.0014258
                     60,                  2.346,                 1.2234,                 1.7993,                0.52512,                0.59427,                0.48891,                0.18405,                 2.2685,                 1.3648,                 1.9342,              0.0014159,              0.0014159,              0.0014159
                     61,                 2.3798,                 1.2682,                 1.8088,                0.56322,                0.63035,                0.52918,                0.19681,                 2.2349,                 1.3153,                 1.9022,               0.001406,               0.001406,               0.001406
                     62,                 2.3373,                 1.2408,                 1.7916,                 0.5894,                0.65092,                0.56478,                0.20981,                 2.1948,                 1.3108,                 1.8708,              0.0013961,              0.0013961,              0.0013961
                     63,                 2.3151,                  1.269,                 1.8504,                0.61895,                 0.6542,                0.58263,                 0.2139,                 2.1957,                 1.2843,                 1.8734,              0.0013862,              0.0013862,              0.0013862
                     64,                 2.3285,                  1.277,                  1.835,                  0.633,                0.65354,                0.59421,                 0.2166,                 2.2191,                 1.2435,                 1.8832,              0.0013763,              0.0013763,              0.0013763
                     65,                 2.3177,                 1.2376,                 1.7697,                0.65173,                0.68516,                0.61841,                0.22088,                 2.2196,                 1.2233,                   1.88,              0.0013664,              0.0013664,              0.0013664
                     66,                 2.3293,                 1.2125,                 1.8196,                0.64338,                0.67651,                0.61271,                0.22492,                  2.211,                 1.2375,                 1.8742,              0.0013565,              0.0013565,              0.0013565
                     67,                 2.3363,                 1.2322,                 1.8173,                0.64651,                0.67192,                 0.6098,                0.22976,                 2.1813,                 1.2695,                 1.8593,              0.0013466,              0.0013466,              0.0013466
                     68,                 2.3149,                 1.2403,                 1.7896,                0.64594,                0.65879,                0.60237,                0.23402,                 2.1713,                 1.2776,                 1.8541,              0.0013367,              0.0013367,              0.0013367
                     69,                 2.3297,                 1.2476,                 1.8022,                0.65859,                0.66995,                0.62052,                0.23618,                 2.1791,                 1.2219,                 1.8526,              0.0013268,              0.0013268,              0.0013268
                     70,                  2.319,                 1.2594,                 1.7827,                0.67301,                0.68045,                 0.6363,                0.23767,                 2.1835,                 1.1852,                 1.8512,              0.0013169,              0.0013169,              0.0013169
                     71,                 2.2816,                 1.2004,                 1.7458,                0.65305,                0.66864,                 0.6316,                0.23552,                 2.1737,                 1.1777,                 1.8516,               0.001307,               0.001307,               0.001307
