                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4831,                  1.217,                 2.0531,                0.51107,                0.63171,                0.49364,                0.17477,                 2.3612,                 1.4092,                 2.1827,              0.0015512,              0.0015512,              0.0015512
                     36,                 2.4455,                 1.2291,                  2.069,                0.51806,                 0.6122,                0.49965,                0.17842,                 2.3429,                 1.2985,                 2.1287,               0.001538,               0.001538,               0.001538
                     37,                 2.5077,                 1.2199,                 2.0195,                0.53583,                0.56168,                0.48651,                 0.1609,                  2.338,                 1.5259,                 2.1036,              0.0015248,              0.0015248,              0.0015248
                     38,                 2.4949,                 1.2103,                 1.9714,                0.59302,                0.64304,                 0.5355,                0.18894,                 2.3082,                 1.4657,                 2.0953,              0.0015116,              0.0015116,              0.0015116
                     39,                 2.4894,                 1.2048,                 1.9389,                0.57103,                0.59833,                0.49065,                 0.1749,                 2.3466,                  1.515,                 2.1436,              0.0014984,              0.0014984,              0.0014984
                     40,                 2.3934,                 1.2027,                 1.9387,                   0.53,                0.57612,                0.44162,                0.15859,                 2.3914,                 1.3346,                  2.189,              0.0014852,              0.0014852,              0.0014852
                     41,                 2.4325,                 1.2197,                 1.9791,                0.53037,                0.60172,                0.48115,                0.17498,                 2.3517,                 1.2411,                 2.1419,               0.001472,               0.001472,               0.001472
                     42,                 2.4339,                 1.2309,                 2.0353,                 0.5664,                0.62795,                0.52584,                0.19506,                 2.3134,                 1.2109,                 2.0868,              0.0014588,              0.0014588,              0.0014588
                     43,                 2.4222,                 1.2126,                 1.9504,                0.60779,                0.63146,                0.57244,                0.19444,                 2.3436,                 1.3552,                 2.0765,              0.0014456,              0.0014456,              0.0014456
                     44,                 2.4085,                 1.2061,                 1.9593,                0.62524,                0.63386,                0.58885,                 0.2065,                 2.2731,                 1.3197,                 2.0356,              0.0014324,              0.0014324,              0.0014324
                     45,                 2.3765,                 1.2123,                 1.8931,                0.57703,                0.60424,                0.54799,                0.20949,                 2.3069,                 1.1759,                 2.0591,              0.0014192,              0.0014192,              0.0014192
                     46,                 2.3935,                 1.2158,                 1.9408,                0.62048,                0.64567,                0.60246,                0.21338,                 2.2879,                 1.1843,                 2.0494,               0.001406,               0.001406,               0.001406
                     47,                 2.3944,                 1.2127,                 1.8739,                0.62345,                0.63339,                0.58828,                0.20814,                 2.2435,                 1.2835,                 2.0138,              0.0013928,              0.0013928,              0.0013928
                     48,                 2.3553,                 1.1896,                 1.8149,                 0.6372,                0.63039,                0.59159,                0.20244,                 2.2696,                 1.3086,                 2.0423,              0.0013796,              0.0013796,              0.0013796
                     49,                  2.375,                 1.1741,                 1.8846,                0.66004,                0.65099,                0.56458,                0.19581,                  2.323,                 1.2194,                   2.09,              0.0013664,              0.0013664,              0.0013664
                     50,                  2.357,                 1.1596,                 1.8912,                0.64991,                0.62205,                0.53589,                0.19295,                 2.3467,                 1.2235,                 2.0921,              0.0013532,              0.0013532,              0.0013532
                     51,                 2.3924,                 1.1655,                 1.8923,                 0.6928,                 0.6437,                0.60144,                 0.2196,                 2.3242,                 1.2871,                 2.0683,                0.00134,                0.00134,                0.00134
                     52,                 2.3824,                 1.1577,                 1.8635,                0.71649,                0.67388,                0.65777,                0.23623,                 2.2481,                 1.2974,                 1.9873,              0.0013268,              0.0013268,              0.0013268
                     53,                 2.3515,                 1.1528,                 1.8191,                0.68884,                0.70341,                0.66578,                0.24505,                 2.2131,                 1.1436,                 1.9263,              0.0013136,              0.0013136,              0.0013136
                     54,                 2.3802,                 1.1724,                 1.8418,                0.65262,                0.68898,                0.63952,                0.23556,                 2.2864,                 1.1109,                 1.9605,              0.0013004,              0.0013004,              0.0013004
                     55,                 2.3735,                 1.1728,                 1.8201,                0.68221,                 0.6857,                0.65527,                  0.241,                 2.2163,                 1.1162,                 1.9503,              0.0012872,              0.0012872,              0.0012872
                     56,                 2.3113,                 1.1556,                 1.7612,                0.70344,                0.66995,                0.66601,                0.24157,                  2.193,                 1.1821,                 1.9309,               0.001274,               0.001274,               0.001274
                     57,                 2.3288,                 1.1664,                 1.7832,                0.71862,                0.69544,                0.66855,                0.24302,                 2.1766,                 1.1825,                 1.9028,              0.0012608,              0.0012608,              0.0012608
                     58,                 2.3481,                 1.1988,                 1.8607,                0.67275,                0.68122,                 0.6167,                0.22774,                 2.1856,                  1.142,                 1.9063,              0.0012476,              0.0012476,              0.0012476
                     59,                  2.303,                 1.1646,                 1.8191,                0.59197,                0.65157,                0.55254,                0.19629,                 2.2604,                 1.1656,                 1.9577,              0.0012344,              0.0012344,              0.0012344
                     60,                 2.3691,                 1.1578,                 1.7823,                0.63952,                0.66667,                0.59669,                0.21655,                 2.1951,                 1.1697,                 1.9146,              0.0012212,              0.0012212,              0.0012212
                     61,                 2.3544,                 1.1812,                 1.7867,                0.65312,                0.66995,                0.62798,                0.22152,                 2.2022,                 1.2377,                  1.912,               0.001208,               0.001208,               0.001208
                     62,                 2.3237,                  1.184,                 1.7824,                0.66753,                0.67192,                 0.6434,                0.23303,                 2.1706,                 1.1785,                 1.8926,              0.0011948,              0.0011948,              0.0011948
                     63,                  2.284,                 1.1766,                 1.8372,                0.64083,                0.65879,                0.58504,                0.22445,                  2.197,                 1.1365,                 1.9181,              0.0011816,              0.0011816,              0.0011816
