                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7582,                 3.6896,                 4.2153,                      0,                      0,                      0,                      0,                 5.5896,                 3.6522,                 4.1604,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.6486,                 3.6715,                 4.1971,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5894,                  3.649,                 4.1605,             0.00013861,             0.00013861,             0.00013861
                      3,                 5.6874,                 3.6064,                  4.155,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5865,                 3.6425,                 4.1582,             0.00021564,             0.00021564,             0.00021564
                      4,                 5.7445,                 3.3671,                 4.0661,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5818,                 3.6353,                 4.1541,             0.00029109,             0.00029109,             0.00029109
                      5,                 4.9645,                  2.759,                 4.0117,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5781,                 3.6298,                 4.1508,             0.00036495,             0.00036495,             0.00036495
                      6,                 4.4453,                 2.3257,                  3.862,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5736,                 3.6251,                 4.1469,             0.00043723,             0.00043723,             0.00043723
                      7,                 4.4667,                 2.3285,                 3.7768,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5693,                 3.6232,                 4.1431,             0.00050792,             0.00050792,             0.00050792
                      8,                 3.8631,                 1.8993,                 3.5101,                0.00019,                0.00066,                  9e-05,                  1e-05,                   5.57,                 3.6331,                 4.1435,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.4547,                  1.726,                 3.3584,                0.00019,                0.00066,                  9e-05,                  1e-05,                  5.576,                 3.6536,                 4.1488,             0.00064456,             0.00064456,             0.00064456
                     10,                 3.3433,                 1.6785,                 3.1574,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5807,                 3.6697,                 4.1529,              0.0007105,              0.0007105,              0.0007105
