                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6393,                 3.5971,                 4.1714,                      0,                      0,                      0,                      0,                 6.1785,                  3.701,                 4.1557,                0.00026,                0.00026,                0.00026
                      2,                 4.7089,                 2.5588,                 3.9354,                      0,                      0,                      0,                      0,                 6.1625,                 3.6801,                 4.1342,             0.00052931,             0.00052931,             0.00052931
                      3,                  3.435,                 1.7336,                 3.3956,                      0,                      0,                      0,                      0,                 6.1676,                 3.7201,                 4.1494,             0.00078753,             0.00078753,             0.00078753
                      4,                 2.9862,                 1.4389,                 2.7713,                      0,                      0,                      0,                      0,                 6.2051,                 3.8836,                 4.2203,              0.0010347,              0.0010347,              0.0010347
                      5,                 2.7629,                 1.3874,                 2.4899,                0.00222,                 0.0102,                0.00114,                0.00021,                 6.0398,                 3.4092,                 3.9958,              0.0012707,              0.0012707,              0.0012707
                      6,                 2.6589,                 1.3294,                 2.3135,                0.01407,                0.06463,                0.01306,                0.00357,                 5.4464,                 3.3517,                 3.5742,              0.0014957,              0.0014957,              0.0014957
                      7,                 2.5745,                 1.2835,                 2.2271,                 0.6642,                0.14129,                0.22426,                0.07932,                 3.9785,                 2.3041,                 3.0046,              0.0017095,              0.0017095,              0.0017095
                      8,                 2.5047,                 1.2815,                 2.1015,                0.45882,                0.45275,                0.32933,                0.11919,                 2.8461,                   1.56,                 2.4224,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.4555,                 1.2298,                 2.0407,                0.52734,                0.60544,                 0.4764,                0.17595,                 2.5077,                 1.2486,                 2.0692,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.3877,                  1.193,                 2.0042,                0.14477,                0.27041,                0.08208,                0.02351,                 3.9337,                 2.0364,                 2.9019,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.3872,                 1.1997,                 1.9712,                0.45477,                0.56463,                0.41755,                0.13545,                  2.589,                 1.4213,                 2.0126,               0.001604,               0.001604,               0.001604
                     12,                 2.3749,                 1.1894,                 1.9259,                0.57428,                0.61054,                0.52738,                 0.1738,                 2.5655,                 1.3914,                 1.9876,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.3312,                 1.1525,                 1.8741,                0.51549,                0.62969,                0.47866,                0.15701,                 2.6886,                 1.3356,                 2.0205,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.3374,                 1.1279,                 1.8369,                0.69002,                   0.75,                0.70869,                0.29158,                 2.1599,                 1.0596,                 1.7518,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.3108,                 1.1316,                 1.8106,                0.68196,                0.70748,                0.68674,                0.25619,                 2.2262,                 1.1372,                 1.8229,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.3033,                 1.1558,                  1.821,                0.70521,                0.76531,                0.73441,                0.28537,                 2.1283,                 1.0724,                 1.7625,               0.001406,               0.001406,               0.001406
                     17,                 2.2902,                 1.1322,                 1.7777,                0.75765,                0.78231,                 0.7661,                0.29324,                 2.1326,                 1.0792,                 1.7297,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.2777,                 1.1319,                 1.7987,                0.69384,                 0.7602,                0.71437,                 0.2882,                 2.1114,                 1.0532,                 1.7068,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.2919,                 1.1739,                 1.7781,                0.69219,                 0.7432,                0.71901,                0.29268,                  2.121,                 1.0732,                 1.7256,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.2524,                 1.1198,                 1.7432,                0.76148,                0.78231,                0.75853,                 0.3095,                 2.0498,                 1.0193,                 1.6735,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.2322,                 1.0904,                 1.7178,                0.74563,                 0.7585,                0.74765,                0.29728,                 2.1197,                 1.0818,                 1.6986,               0.001208,               0.001208,               0.001208
                     22,                 2.2308,                 1.0962,                  1.722,                0.80949,                0.78912,                 0.7933,                0.32413,                 2.0716,                 1.0163,                 1.6696,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.2141,                 1.0899,                 1.7286,                0.79506,                0.82653,                0.80947,                0.31552,                 2.0446,                 1.0318,                 1.6682,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.2217,                 1.1008,                 1.7605,                0.81823,                0.85034,                0.81052,                0.32904,                 2.0267,                0.99519,                 1.6428,              0.0010892,              0.0010892,              0.0010892
                     25,                  2.184,                 1.0796,                 1.7307,                0.79487,                0.79932,                0.80454,                0.32426,                  2.065,                  1.035,                 1.6685,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.2024,                 1.1026,                 1.7398,                0.81389,                0.80325,                 0.7925,                0.32787,                 2.0323,                0.99075,                 1.6409,                0.00101,                0.00101,                0.00101
                     27,                  2.189,                 1.0341,                  1.693,                0.85074,                0.83503,                0.80679,                 0.3291,                 2.0545,                 0.9787,                 1.6376,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.1698,                 1.0724,                  1.706,                0.81517,                0.82653,                0.81791,                0.34003,                 1.9827,                0.99261,                 1.6266,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.1867,                 1.0511,                 1.6813,                0.83447,                 0.8402,                0.83366,                0.33738,                 2.0544,                0.98352,                 1.6378,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.1512,                 1.0616,                 1.6726,                0.81142,                0.81973,                0.81095,                0.33035,                 2.0496,                 1.0061,                 1.6306,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.1242,                 1.0471,                 1.6731,                0.77635,                0.77381,                0.74092,                0.29728,                 2.1296,                 1.0681,                 1.6759,               0.000812,               0.000812,               0.000812
                     32,                 2.1427,                 1.0537,                 1.6795,                0.84593,                0.84036,                0.83333,                0.35146,                 1.9947,                0.97899,                 1.5943,              0.0007724,              0.0007724,              0.0007724
                     33,                  2.149,                  1.028,                 1.6557,                0.80325,                0.81463,                0.78347,                0.31237,                 2.0499,                 1.0159,                 1.6385,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.1137,                 1.0285,                 1.6508,                0.78027,                0.78571,                0.76351,                0.29402,                 2.1119,                 1.0549,                 1.6672,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.1056,                 1.0442,                 1.6514,                 0.8682,                0.84354,                0.83464,                0.35491,                 1.9739,                0.95083,                 1.5889,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.1465,                 1.0438,                  1.679,                0.80306,                0.79932,                  0.786,                0.32451,                  2.042,                 1.0059,                 1.6319,               0.000614,               0.000614,               0.000614
                     37,                 2.1038,                 1.0404,                 1.6534,                0.82484,                 0.8249,                0.80494,                0.31258,                 2.0646,                 1.0065,                  1.633,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.0785,                0.99566,                 1.6075,                0.83191,                0.81646,                0.79856,                0.34137,                  2.015,                0.96798,                 1.5979,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.1053,                0.99351,                 1.5956,                0.79832,                0.79592,                0.78204,                0.31921,                 2.0699,                 1.0221,                 1.6345,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.0909,                 1.0088,                 1.6589,                0.83712,                0.81293,                0.78985,                0.34151,                 2.0041,                0.94258,                 1.5997,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.0987,                 1.1245,                  1.673,                0.83472,                0.82653,                 0.8199,                0.34919,                 1.9972,                0.96463,                 1.5886,               0.000416,               0.000416,               0.000416
                     42,                 2.0511,                 1.0969,                 1.6318,                0.85048,                0.83193,                0.84695,                 0.3642,                 1.9512,                 1.0098,                  1.561,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.0138,                 1.0877,                  1.637,                0.82531,                0.79592,                 0.8119,                0.36295,                 1.9395,                 1.0139,                 1.5513,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0355,                 1.0727,                 1.6332,                0.80558,                0.79082,                0.80869,                0.35382,                 1.9636,                 1.0377,                 1.5657,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.0301,                 1.0684,                 1.6257,                0.79352,                0.77776,                0.79427,                0.33862,                 1.9833,                 1.0563,                 1.5747,              0.0002576,              0.0002576,              0.0002576
                     46,                  2.017,                 1.0653,                 1.6299,                 0.7932,                0.78401,                0.81141,                0.33082,                 2.0041,                 1.0625,                 1.5834,               0.000218,               0.000218,               0.000218
                     47,                 2.0039,                 1.0379,                 1.5957,                0.79422,                0.79592,                0.80427,                0.34014,                 1.9787,                 1.0373,                 1.5703,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.0164,                 1.0425,                 1.5928,                0.80293,                0.81122,                0.81305,                0.34774,                  1.964,                  1.018,                 1.5578,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.0147,                 1.0719,                 1.6698,                0.81013,                0.81996,                0.81628,                0.34735,                 1.9583,                 1.0135,                 1.5542,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.0042,                 1.0532,                 1.6256,                0.80442,                0.81143,                0.80545,                0.34525,                 1.9589,                 1.0151,                 1.5558,               5.96e-05,               5.96e-05,               5.96e-05
