                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2482,                 1.3526,                 2.1968,                0.40955,                0.61024,                 0.3995,                0.14657,                 2.4665,                 1.3367,                 2.2168,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.2813,                 1.3234,                 2.1843,                0.45597,                0.59711,                0.42846,                0.15336,                 2.4515,                  1.317,                 2.2125,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.2538,                  1.379,                 2.1947,                0.42483,                0.57152,                0.39182,                0.13911,                 2.4909,                 1.3553,                 2.2304,               0.000614,               0.000614,               0.000614
                     37,                 2.2073,                 1.2999,                 2.1092,                0.35374,                0.52887,                 0.2999,                0.10844,                 2.5511,                 1.4339,                 2.2741,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.3151,                 1.3618,                 2.1363,                0.31217,                0.53396,                0.26473,                0.09694,                 2.5525,                 1.4883,                 2.2775,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.2661,                 1.3122,                 2.0932,                0.30959,                0.53412,                0.26079,                0.09662,                 2.5353,                 1.5097,                 2.2608,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.2692,                 1.2988,                 2.0743,                0.36168,                 0.5643,                0.32372,                0.11843,                 2.4855,                 1.4166,                 2.2115,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.1656,                 1.4244,                 2.0746,                0.37082,                0.56562,                0.33432,                0.12192,                 2.4696,                 1.4158,                 2.1941,               0.000416,               0.000416,               0.000416
                     42,                 2.1034,                 1.4038,                 2.1025,                0.33224,                0.54003,                0.29471,                0.10723,                 2.4959,                 1.4692,                 2.2186,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.1231,                 1.4762,                 2.1513,                0.30966,                0.51509,                0.27049,                0.09828,                 2.5069,                 1.5061,                 2.2299,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0996,                 1.3835,                 2.0505,                0.27802,                0.49213,                0.23922,                0.08764,                 2.5289,                 1.5702,                 2.2545,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.1015,                  1.394,                 2.1142,                0.24401,                0.50342,                0.21259,                0.07756,                 2.5601,                 1.6336,                 2.2917,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.0945,                 1.3755,                 2.0776,                0.22859,                0.51837,                0.20239,                0.07457,                 2.5733,                 1.6708,                 2.3106,               0.000218,               0.000218,               0.000218
                     47,                 2.0533,                 1.3574,                 2.0908,                0.23906,                0.51494,                0.21187,                0.07754,                 2.5563,                 1.6557,                 2.2975,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.1003,                 1.3826,                 2.0316,                0.26149,                0.49672,                0.22942,                0.08444,                  2.527,                 1.6204,                 2.2696,              0.0001388,              0.0001388,              0.0001388
                     49,                  2.056,                 1.3854,                 2.0716,                0.28363,                0.50262,                0.25619,                0.09377,                  2.496,                 1.5736,                 2.2381,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.0178,                  1.359,                 2.0948,                0.30237,                0.51181,                0.27471,                0.10143,                 2.4708,                  1.536,                 2.2135,               5.96e-05,               5.96e-05,               5.96e-05
